city,temperature,description,icon
Modinagar,29.3,few clouds,02n

Lucknow,39.99,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,31.23,41.72,scattered clouds,03d
Thursday,31.69,45.98,clear sky,01d
Friday,33.03,46.12,overcast clouds,04d
Saturday,35.1,48.24,overcast clouds,04d
Sunday,34.18,48.48,few clouds,02d
city,temperature,description,icon
Kanpur,43.77,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,30.96,43.77,scattered clouds,03d
Thursday,32.13,46.09,clear sky,01d
Friday,33.44,46.19,overcast clouds,04d
Saturday,34.33,48.2,broken clouds,04d
Sunday,34.64,48.39,clear sky,01d
city,temperature,description,icon
Nagpur,36.01,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,30.02,37.79,light rain,10d
Thursday,31.44,41.47,light rain,10d
Friday,29.12,38.71,light rain,10d
Saturday,28.92,40.65,overcast clouds,04d
Sunday,31.58,44.12,clear sky,01d
city,temperature,description,icon
Indore,37.1,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,28.45,37.78,broken clouds,04d
Thursday,29.23,40.73,scattered clouds,03d
Friday,30.35,41.32,overcast clouds,04d
Saturday,28.15,41.09,few clouds,02d
Sunday,29.5,42.23,clear sky,01d
city,temperature,description,icon
Bhopal,37.13,few clouds,02d

day,min_temp,max_temp,description,icon
Wednesday,28.62,38.03,scattered clouds,03d
Thursday,31.64,41.8,broken clouds,04d
Friday,30.68,41.63,overcast clouds,04d
Saturday,30.17,42.77,broken clouds,04d
Sunday,31.85,43.5,clear sky,01d
city,temperature,description,icon
Visakhapatnam,32.52,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,27.47,33.08,light rain,10d
Thursday,28.88,31.83,overcast clouds,04d
Friday,28.27,33.42,overcast clouds,04d
Saturday,28.49,34.06,light rain,10d
Sunday,26.74,34.42,moderate rain,10d
city,temperature,description,icon
Delhi,40.62,haze,50d

day,min_temp,max_temp,description,icon
Wednesday,32.25,41.35,clear sky,01d
Thursday,34.25,45.37,clear sky,01d
Friday,35.83,46.34,few clouds,02d
Saturday,37.38,47.49,clear sky,01d
Sunday,37.18,46.74,clear sky,01d
city,temperature,description,icon
Mumbai,34.99,smoke,50d

day,min_temp,max_temp,description,icon
Wednesday,29.08,34.99,clear sky,01d
Thursday,29.21,31.93,light rain,10d
Friday,29.23,30.62,scattered clouds,03d
Saturday,28.96,30.63,clear sky,01d
Sunday,29.07,30.43,clear sky,01d
city,temperature,description,icon
Patna,39.96,few clouds,02d

day,min_temp,max_temp,description,icon
Wednesday,31.62,41.21,clear sky,01d
Thursday,33.07,44.98,overcast clouds,04d
Friday,33.19,46.33,overcast clouds,04d
Saturday,33.57,45.54,overcast clouds,04d
Sunday,33.13,46.87,clear sky,01d
